fips_county,fast_food,grocery
26083,,3.0
26087,50.0,10.0
26089,15.0,10.0
26091,67.0,10.0
26093,117.0,17.0
26095,3.0,3.0
26097,15.0,8.0
26099,717.0,113.0
26101,11.0,8.0
26103,48.0,11.0
26105,20.0,5.0
26107,26.0,5.0
26109,12.0,9.0
26111,64.0,15.0
26113,4.0,
26115,101.0,20.0
26117,27.0,8.0
26119,3.0,4.0
26121,122.0,16.0
26123,26.0,6.0
26125,1077.0,224.0
26127,9.0,4.0
26129,12.0,5.0
26131,,3.0
26133,10.0,4.0
26135,6.0,
26137,21.0,8.0
26139,167.0,35.0
26141,4.0,6.0
26143,15.0,4.0
26145,157.0,33.0
26147,89.0,21.0
26149,36.0,13.0
26151,18.0,8.0
26153,7.0,
26155,45.0,11.0
26157,21.0,7.0
26159,51.0,16.0
26161,299.0,60.0
26163,1348.0,366.0
26165,26.0,6.0
27001,8.0,5.0
27003,220.0,38.0
27005,17.0,3.0
27007,25.0,7.0
27009,22.0,3.0
27011,5.0,
27013,60.0,6.0
27015,19.0,5.0
27017,10.0,6.0
27019,57.0,15.0
27021,9.0,10.0
27023,7.0,3.0
27025,28.0,5.0
27027,39.0,6.0
27029,,3.0
27031,6.0,4.0
27033,3.0,4.0
27035,44.0,15.0
27037,301.0,57.0
27039,9.0,3.0
27041,25.0,5.0
27043,6.0,6.0
27045,13.0,5.0
27047,22.0,4.0
27049,31.0,10.0
27051,,3.0
27053,1068.0,235.0
27055,6.0,4.0
27057,8.0,5.0
27059,16.0,4.0
27061,16.0,8.0
27065,5.0,
27067,27.0,7.0
27069,,3.0
27071,9.0,6.0
27073,3.0,
27075,8.0,
27079,6.0,5.0
27081,,5.0
27083,25.0,7.0
27085,25.0,6.0
27087,3.0,
27089,,5.0
27091,13.0,3.0
27093,9.0,5.0
27095,16.0,4.0
27097,24.0,9.0
27099,23.0,10.0
27101,3.0,4.0
27103,21.0,3.0
27105,10.0,10.0
27107,,3.0
27109,112.0,26.0
27111,31.0,12.0
27113,4.0,
27115,15.0,5.0
27117,8.0,3.0
27119,15.0,6.0
27121,4.0,
27123,441.0,113.0
27127,6.0,5.0
27129,5.0,4.0
27131,36.0,8.0
27133,7.0,
27135,4.0,5.0
27137,132.0,34.0
27139,85.0,21.0
27141,41.0,10.0
27143,4.0,5.0
27145,116.0,32.0
27147,28.0,7.0
27149,6.0,3.0
27151,7.0,3.0
27153,7.0,6.0
27157,10.0,3.0
27159,13.0,5.0
27161,11.0,
27163,165.0,31.0
27165,4.0,
27169,37.0,4.0
27171,73.0,12.0
27173,6.0,3.0
28001,27.0,4.0
28003,33.0,7.0
28005,3.0,
28007,11.0,
28011,24.0,6.0
28013,5.0,5.0
28017,7.0,4.0
28019,4.0,
28021,5.0,
28023,6.0,3.0
28025,14.0,3.0
28027,16.0,6.0
28029,16.0,
28031,13.0,5.0
28033,161.0,17.0
28035,76.0,12.0
28039,13.0,
28041,4.0,4.0
28043,26.0,
28045,30.0,
28047,166.0,17.0
28049,228.0,22.0
28051,6.0,3.0
28053,4.0,
28057,14.0,4.0
28059,94.0,18.0
28061,4.0,3.0
28065,4.0,
28067,55.0,8.0
28071,58.0,3.0
28073,64.0,9.0
28075,76.0,6.0
28077,5.0,3.0
28079,16.0,
28081,97.0,20.0
28083,19.0,8.0
28085,28.0,4.0
28087,47.0,6.0
28089,114.0,18.0
28091,18.0,3.0
28093,14.0,
28095,22.0,5.0
28097,7.0,
28099,20.0,3.0
28101,12.0,3.0
28103,5.0,
28105,41.0,5.0
28107,21.0,4.0
28109,34.0,7.0
28113,36.0,8.0
28115,21.0,7.0
28117,20.0,5.0
28119,4.0,
28121,163.0,12.0
28123,24.0,8.0
28127,20.0,3.0
28129,4.0,3.0
28131,14.0,
28133,14.0,4.0
28135,6.0,
28137,22.0,
28139,12.0,5.0
28141,15.0,11.0
28143,10.0,3.0
28145,19.0,4.0
28147,7.0,3.0
28149,42.0,3.0
28151,33.0,6.0
